name,genre,platform,user_score,critic_score,global_sales
LEGO Batman: The Videogame,Action,X360,7.9,76.0,3.38
Destiny,Shooter,XOne,5.5,75.0,3.37
Far Cry 3,Shooter,PS3,8.5,90.0,3.35
James Bond 007: Nightfire,Shooter,PS2,8.5,77.0,3.33
Star Wars Episode III: Revenge of the Sith,Action,PS2,7.2,60.0,3.32
The Legend of Zelda: Spirit Tracks,Action,DS,7.8,87.0,3.31
Max Payne,Shooter,PS2,8.5,80.0,3.31
Assassin's Creed IV: Black Flag,Action,X360,7.9,86.0,3.3
The Lord of the Rings: The Return of the King,Action,PS2,8.7,85.0,3.28
Gears of War: Ultimate Edition,Shooter,XOne,7.5,82.0,3.28
True Crime: Streets of LA,Action,PS2,8.0,77.0,3.27
Professor Layton and the Unwound Future,Puzzle,DS,9.2,86.0,3.26
FIFA 16,Sports,XOne,4.4,84.0,3.25
Wii Music,Misc,Wii,4.6,63.0,3.25
Madden NFL 16,Sports,PS4,5.9,83.0,3.24
Gran Turismo 6,Racing,PS3,7.7,81.0,3.23
Halo: The Master Chief Collection,Shooter,XOne,7.2,85.0,3.23
Super Mario Maker,Platform,WiiU,8.7,88.0,3.21
God of War: Chains of Olympus,Action,PSP,8.6,91.0,3.18
Enter the Matrix,Action,PS2,8.1,62.0,3.18
Crisis Core: Final Fantasy VII,Role-Playing,PSP,8.0,83.0,3.18
Dance Central,Misc,X360,7.6,82.0,3.17
L.A. Noire,Adventure,PS3,7.7,89.0,3.17
Ace Combat 04: Shattered Skies,Simulation,PS2,9.1,89.0,3.17
Animal Crossing,Simulation,GC,8.9,87.0,3.15
FIFA Soccer 08,Sports,PS2,6.5,83.0,3.14
Spider-Man,Action,PS,9.0,87.0,3.13
Mario Party 9,Misc,Wii,6.8,73.0,3.13
Sonic Rush,Platform,DS,8.5,82.0,3.12
Rhythm Heaven,Misc,DS,9.0,83.0,3.11
Fallout: New Vegas,Role-Playing,PS3,7.8,82.0,3.11
Personal Trainer: Cooking,Misc,DS,7.8,81.0,3.11
The Elder Scrolls IV: Oblivion,Role-Playing,PS3,8.0,93.0,3.1
The Legend of Zelda: A Link Between Worlds,Action,3DS,8.9,91.0,3.1
Resident Evil 6,Shooter,PS3,5.4,74.0,3.1
Mass Effect 2,Role-Playing,X360,8.9,96.0,3.1
Dragon Ball Z: Budokai,Fighting,PS2,7.9,67.0,3.09
Madden NFL 2002,Sports,PS2,7.9,94.0,3.08
The Sims: Vacation,Simulation,PC,7.8,75.0,3.07
LEGO Batman: The Videogame,Action,Wii,7.9,74.0,3.06
Animal Crossing: Happy Home Designer,Simulation,3DS,6.9,66.0,3.05
The Sims 4,Simulation,PC,3.9,70.0,3.05
Borderlands 2,Shooter,X360,8.2,89.0,3.05
LEGO Batman: The Videogame,Action,DS,8.0,72.0,3.05
Kung Fu Panda,Action,X360,7.4,75.0,3.04
Mass Effect 3,Role-Playing,X360,5.8,93.0,3.04
Heavy Rain,Adventure,PS3,7.7,87.0,3.03
Saints Row 2,Action,X360,8.1,81.0,3.03
Tom Clancy's Splinter Cell,Action,XB,8.5,93.0,3.02
FIFA 14,Sports,PS4,6.3,87.0,3.01
Killzone 2,Shooter,PS3,8.1,91.0,3.01
Far Cry 3,Shooter,X360,8.6,91.0,3.0
Epic Mickey,Platform,Wii,7.0,73.0,3.0
NBA 2K13,Sports,X360,7.2,88.0,3.0
Dragon Ball Z: Budokai Tenkaichi 3,Fighting,PS2,9.2,73.0,3.0
The Sims: Livin Large,Misc,PC,6.6,82.0,2.99
World Soccer Winning Eleven 6 International,Sports,PS2,9.1,93.0,2.99
Devil May Cry,Action,PS2,8.5,94.0,2.99
Star Wars: The Old Republic,Role-Playing,PC,5.9,85.0,2.96
Middle-Earth: Shadow of Mordor,Action,PS4,8.1,84.0,2.96
Sonic Heroes,Platform,PS2,7.8,64.0,2.96
Hitman 2: Silent Assassin,Action,PS2,7.8,85.0,2.96
Titanfall,Shooter,XOne,6.4,86.0,2.95
Battlefield: Bad Company 2,Shooter,PS3,8.5,88.0,2.95
SOCOM II: U.S. Navy SEALs,Shooter,PS2,9.0,87.0,2.94
Pac-Man Collection,Puzzle,GBA,7.8,79.0,2.94
Street Fighter IV,Fighting,X360,7.3,93.0,2.94
inFAMOUS,Action,PS3,8.3,85.0,2.93
Kirby Super Star Ultra,Platform,DS,8.8,76.0,2.92
Call of Duty: Ghosts,Shooter,XOne,4.3,78.0,2.92
Mass Effect,Role-Playing,X360,8.7,91.0,2.91
Sonic Mega Collection Plus,Misc,PS2,8.6,73.0,2.9
World Soccer Winning Eleven 7 International,Sports,PS2,9.0,93.0,2.9
Sega Superstars Tennis,Sports,X360,6.8,67.0,2.89
Hot Shots Golf 3,Sports,PS2,8.9,85.0,2.89
Cooking Mama: Cook Off,Simulation,Wii,5.3,61.0,2.89
Call of Duty: Finest Hour,Shooter,PS2,7.7,76.0,2.89
WarioWare: Smooth Moves,Puzzle,Wii,7.4,83.0,2.89
Madden NFL 13,Sports,X360,5.8,81.0,2.86
The Elder Scrolls III: Morrowind,Role-Playing,XB,8.7,87.0,2.86
Assassin's Creed IV: Black Flag,Action,PS4,7.8,83.0,2.85
Mortal Kombat,Fighting,PS3,8.4,84.0,2.84
Madden NFL 10,Sports,X360,6.1,85.0,2.83
BioShock,Shooter,X360,8.9,96.0,2.83
Metroid Prime,Shooter,GC,9.3,97.0,2.82
Assassin's Creed: Brotherhood,Action,PS3,8.2,90.0,2.82
Medal of Honor,Shooter,PS3,7.5,75.0,2.81
inFAMOUS: Second Son,Action,PS4,7.9,80.0,2.79
NBA Street,Sports,PS2,8.6,89.0,2.79
Jak II,Platform,PS2,8.2,87.0,2.78
Need for Speed: Hot Pursuit,Racing,PS3,7.2,89.0,2.78
Skylanders: Spyro's Adventure,Action,Wii,5.6,81.0,2.78
Battlefield 3,Shooter,PC,7.5,89.0,2.78
Mortal Kombat X,Fighting,PS4,7.7,83.0,2.78
The Sims,Simulation,PS2,7.7,83.0,2.77
Killzone 3,Shooter,PS3,7.9,84.0,2.77
Star Wars: The Force Unleashed,Action,X360,6.7,73.0,2.77
Yoshi's Island DS,Platform,DS,7.4,81.0,2.76
Saints Row: The Third,Action,X360,7.6,84.0,2.76
Tekken 6,Fighting,PS3,7.4,79.0,2.75
