name,user_score,user_count
Art Academy,8.0,5.0
NBA 2K14,4.9,150.0
Skylanders Giants,7.0,20.0
Deca Sports,5.4,16.0
Marvel: Ultimate Alliance,7.5,120.0
Mortal Kombat: Deadly Alliance,8.8,96.0
Game Party,4.3,26.0
Bloodborne,8.6,6383.0
Mario Party 4,7.4,74.0
Pure,7.7,83.0
Rock Band,8.2,178.0
NBA 2K13,8.0,99.0
Saints Row: The Third,7.7,384.0
Resistance 2,6.1,1889.0
NBA 2K15,7.0,291.0
Final Fantasy Tactics,8.2,190.0
Midnight Club: Los Angeles,8.2,100.0
The Sims: Bustin' Out,8.4,42.0
LEGO Harry Potter: Years 1-4,8.0,34.0
Call of Duty: Infinite Warfare,3.1,290.0
Madden NFL 16,6.1,124.0
Tom Clancy's Rainbow Six: Vegas 2,7.8,176.0
Need for Speed Carbon: Own the City,7.9,39.0
Dragon Ball Z: Budokai 2,8.2,92.0
pro evolution soccer 2011,6.8,85.0
ATV Offroad Fury,8.4,53.0
Need for Speed: ProStreet,6.2,34.0
Halo: Combat Evolved Anniversary,8.1,487.0
Theme Hospital,9.0,90.0
Guitar Hero,8.7,173.0
Madden NFL 11,6.1,68.0
Dead Island,6.9,627.0
Half-Life 2,9.1,8665.0
The Incredibles,7.6,22.0
Madden NFL 08,6.4,108.0
Tony Hawk's Underground 2,8.8,55.0
Zumba Fitness,5.5,16.0
Madden NFL 10,6.8,58.0
Midnight Club: Los Angeles,8.5,142.0
Kinect: Disneyland Adventures,2.9,67.0
WWE SmackDown vs Raw 2008,7.2,31.0
The Legend of Zelda: Majora's Mask 3D,9.0,478.0
LEGO Indiana Jones: The Original Adventures,6.6,28.0
Resident Evil - Code: Veronica X,8.4,189.0
NBA 2K16,6.2,115.0
Kinect Sports: Season Two,6.5,39.0
My Fitness Coach,8.6,16.0
James Bond 007: Everything or Nothing,9.1,51.0
Need For Speed: High Stakes,8.5,28.0
Guild Wars 2,7.9,2954.0
Paper Mario: Sticker Star,5.6,382.0
Batman: Arkham Origins,7.7,668.0
Tomb Raider II,8.3,37.0
LEGO Star Wars: The Complete Saga,6.7,87.0
Need for Speed Underground 2,8.7,27.0
Pro Evolution Soccer 2010,6.7,76.0
FIFA Soccer 09,6.9,20.0
LEGO Harry Potter: Years 1-4,7.2,6.0
The Sims 3,7.1,71.0
Pokemon Ranger: Shadows of Almia,8.2,27.0
Dead Island,6.6,405.0
Kirby: Nightmare in Dream Land,8.9,54.0
Wario Land 4,8.9,42.0
Sonic's Ultimate Genesis Collection,8.6,43.0
Far Cry: Primal,6.3,635.0
Battlefield 1,8.2,440.0
Onimusha 2: Samurai's Destiny,9.0,52.0
Paper Mario: The Thousand-Year Door,9.4,306.0
Madden NFL 12,5.5,56.0
God of War: Ascension,7.5,914.0
Guitar Hero III: Legends of Rock,7.8,52.0
Sonic Advance,8.1,48.0
Super Monkey Ball: Banana Blitz,5.7,72.0
Call of Duty 3,6.7,61.0
New Super Luigi U,7.9,288.0
Assassin's Creed IV: Black Flag,7.4,355.0
Spyro: Season of Ice,8.0,13.0
Dissidia: Final Fantasy,8.0,139.0
Madden NFL 25,5.6,136.0
Borderlands 2,8.2,858.0
Prince of Persia: The Sands of Time,8.8,204.0
Monster Hunter Tri,8.6,219.0
LEGO Marvel Super Heroes,7.6,127.0
Tom Clancy's Rainbow Six: Siege,7.3,480.0
Star Wars: The Force Unleashed,6.6,233.0
Guitar Hero II,8.1,220.0
Forza Motorsport 5,5.9,1095.0
Rock Band 2,8.3,156.0
Need for Speed: Hot Pursuit,7.0,206.0
LEGO Indiana Jones: The Original Adventures,7.9,16.0
BioShock 2,8.2,573.0
Star Wars: Knights of the Old Republic,9.2,317.0
Madden NFL 15,6.1,208.0
Pro Evolution Soccer 2012,6.6,132.0
Saints Row,7.5,211.0
ATV Offroad Fury 2,8.9,28.0
FIFA 15,5.4,347.0
Tom Clancy's The Division,6.9,614.0
Final Fantasy XIII,6.3,539.0
The Sims: House Party,7.9,30.0
Scribblenauts,7.6,110.0
Sonic Unleashed,7.3,136.0
Pokemon Ranger,7.6,50.0
Skylanders SWAP Force,6.6,5.0
Overwatch,6.1,1358.0
Hitman: Absolution,7.5,511.0
Call of Duty: Roads to Victory,7.5,30.0
Dance Dance Revolution Extreme,9.0,20.0
Final Fantasy Tactics Advance,7.8,212.0
Your Shape featuring Jenny McCarthy,5.2,54.0
Project Gotham Racing,8.2,28.0
NBA 2K12,6.7,127.0
Need for Speed: Hot Pursuit 2,8.5,92.0
Dynasty Warriors 4,9.3,201.0
NBA 2K14,4.9,142.0
Parasite Eve,8.9,89.0
Tetris DS,8.7,44.0
Battlefield: Hardline,5.0,845.0
Mortal Kombat,8.3,382.0
Borderlands,7.9,427.0
Devil May Cry 3: Dante's Awakening,9.0,212.0
NBA 2K11,8.1,100.0
